category,Threshold,Observed,Superpool_Mean,P_Value,N_CBS
5way,0.2,0.112,0.218,1,11543
5way,0.3,0.11,0.215,1,11543
5way,0.4,0.108,0.21,1,11543
5way,0.5,0.107,0.207,1,11543
5way,0.6,0.106,0.203,1,11543
5way,0.7,0.104,0.199,1,11543
5way TB,0.2,0.105,0.205,1,8881
5way TB,0.3,0.103,0.202,1,8881
5way TB,0.4,0.101,0.197,1,8881
5way TB,0.5,0.1,0.194,1,8881
5way TB,0.6,0.098,0.189,1,8881
5way TB,0.7,0.097,0.186,1,8881
5way HSTB,0.2,0.138,0.203,1,917
5way HSTB,0.3,0.135,0.2,1,917
5way HSTB,0.4,0.134,0.195,1,917
5way HSTB,0.5,0.134,0.192,1,917
5way HSTB,0.6,0.129,0.188,1,917
5way HSTB,0.7,0.123,0.185,1,917
hs,0.2,0.381,0.318,1.00E-04,724
hs,0.3,0.376,0.316,0.0002,724
hs,0.4,0.369,0.311,0.0002,724
hs,0.5,0.369,0.308,0.0002,724
hs,0.6,0.365,0.303,0.0002,724
hs,0.7,0.36,0.3,0.0002,724
hs TB,0.2,0.358,0.271,0.0002,397
hs TB,0.3,0.353,0.268,1.00E-04,397
hs TB,0.4,0.345,0.264,0.0003,397
hs TB,0.5,0.345,0.261,1.00E-04,397
hs TB,0.6,0.34,0.256,1.00E-04,397
hs TB,0.7,0.335,0.253,0.0003,397
hs HSTB,0.2,0.46,0.286,0.001,63
hs HSTB,0.3,0.46,0.283,0.0009,63
hs HSTB,0.4,0.46,0.279,0.0004,63
hs HSTB,0.5,0.46,0.276,0.0004,63
hs HSTB,0.6,0.46,0.271,0.0004,63
hs HSTB,0.7,0.46,0.268,0.0002,63
